TITLE,CONTACT_1,CONTACT_2,WEB_LINK,DATA_SOURCE
Pinon Juniper Net Primary Production Quadrat Data from the Sevilleta National Wildlife Refuge New Mexico 1999-2001,Douglas I. Moore,NA,http://sev.lternet.edu/data/sev-187,Sevilleta Long Term Ecological Research Program
Pinon-Juniper (Core Site) Quadrat Data for the Net Primary Production Study at the Sevilleta National Wildlife Refuge New Mexico (2003-present ),Sevilleta LTER Information Manager,NA,http://sev.lternet.edu/node/1718,Sevilleta LTER
Sherman Forest Dynamics Plot Panama,Richard Condit,NA,http://www.ctfs.si.edu/site/Sherman/,The Center for Tropical Forest Science. Smithsonian Tropical Research Institute
Lac Croche understory vegetation data set (1998 to 2006),Alain Paquette,NA,http://esapubs.org/archive/ecol/E088/197/default.htm#data,ESA - Ecological Publications (Ecology)
Long-term N-fertilized vegetation plots on Hog Island Virginia Coastal Barrier Islands 1992 to 2014,Frank Day,NA,http://www.vcrlter.virginia.edu/cgi-bin/showDataset.cgi?docid=knb-lter-vcr.106,Virginia Coast Reserve Long-Term Ecological Research
Migratory Fishes in the river Scheldt Trekvis,Maarten Stevens,NA,https://www.inbo.be/en,Research Institute for Nature and Forest (INBO)
Long-term monitoring dataset of fish assemblages impinged at nuclear power plants in northern Taiwan,Kwang-Tsao Shao,NA,http://datadryad.org/resource/doi:10.5061/dryad.m777t,Dryad
Evidence for long-term shift in plant community composition under decadal experimental warming,Zheng Shi,NA,http://datadryad.org/resource/doi:10.5061/dryad.1v339?show=full,Dryad
MARMAP Blackfish Trap Survey 1990-2009,Marcel Reichert,NA,http://www2.usgs.gov/obis-usa/search/?datasetid=MARMAP_BlackfishSurvey,OBIS (Ocean Biogeographic Information System) - OBIS USA (MARMAP)
"Multi-decade, spatially explicit population studies of canopy dynamics in Michigan old-growth forests",Kerry D. Woods,NA,http://www.esapubs.org/archive/ecol/E090/251/default.htm,ESA - Ecological Publications (Ecology)
Madison Wisconsin Lakes Zooplankton 1976 - 1994 - new net,Emily Stanley,NA,https://lter.limnology.wisc.edu/dataset/madison-wisonsin-lakes-zooplankton-1976-1994,North Temperate Lakes Long Term Ecological Research
Experimental evidence of reduced diversity of seedlings due to climate modification in a Mediterranean-type community.,Francisco Lloret,NA,None,Contributed by Grace Murphy
"Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Abundance and size of Giant Kelp (Macrocystis Pyrifera), ongoing since 2000",Dan Reed,NA,http://sbc.lternet.edu//index.html,Santa Barbara Coastal LTER
Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Fish abundance,Dan Reed,NA,http://sbc.lternet.edu//index.html,Santa Barbara Coastal LTER
Santa Barbara Coastal LTER Reef: Kelp Forest Community Dynamics: Invertebrate and algal density,Dan Reed,NA,http://sbc.lternet.edu//index.html,Santa Barbara Coastal LTER
