value
Delichon dasypus
Egretta intermedia
Egretta sacra
Emberiza sulphurata
Emberiza variabilis
Eophona migratoria
Eophona personata
Erithacus akahige
Ficedula narcissina
Gallinago solitaria
Horornis diphone
Hypsipetes amaurotis
Lanius bucephalus
Larus schistisagus
Mareca falcata
Megaceryle lugubris
Motacilla grandis
Muscicapa latirostris
Muscicapa sibirica
Otus sunia
Parus minor
Passer rutilans
Phylloscopus borealoides
Phylloscopus coronatus
Phylloscopus xanthodryas
Picus awokera
Poecile varius
Prunella rubida
Spodiopsar cineraceus
Streptopelia orientalis
Strix uralensis
Syrmaticus soemmerringii
Treron sieboldii
Turdus cardis
Turdus chrysolaus
Turdus obscurus
Urosphena squameiceps
Yungipicus kizuki
Zosterops japonicus
Acrocephalus dumetorum
Carduelis caniceps
Crex crex
Motacilla personata
Pastor roseus
Corvus cornix
Anthus campestris
Aquila adalberti
Calandrella brachydactyla
Cettia cetti
Clamator glandarius
Elanus caeruleus
Falco naumanni
Glareola pratincola
Gyps fulvus
Hippolais polyglotta
Lanius meridionalis
Lanius senator
Merops apiaster
Oenanthe hispanica
Otis tarda
Phylloscopus ibericus
Pterocles orientalis
Saxicola rubicola
Sturnus unicolor
Sylvia cantillans
Sylvia hortensis
Sylvia melanocephala
Sylvia undata
Tetrax tetrax
Geothlypis formosa
Helmitheros vermivorum
Icterus galbula
Limnothlypis swainsonii
Passerina cyanea
Protonotaria citrea
Seiurus aurocapilla
Setophaga americana
Setophaga caerulescens
Setophaga citrina
Setophaga discolor
Setophaga magnolia
Setophaga tigrina
Lanius minor
Aquila chrysaetos
Aquila heliaca
Bubo bubo
Buteo lagopus
Cyanistes cyanus
Falco cherrug
Falco rusticolus
Alopochen aegyptiaca
Anas undulata
Anthropoides paradiseus
Anthus cinnamomeus
Anthus leucophrys
Apus barbatus
Apus horus
Ardea menalocepha
Asio capensis
Balearica regulorum
Bostrychia hagedash
Bradypterus baboecala
Bugeranus carunculatus
Buteo rufofuscus
Calandrella cinerea
Cecropis cucullata
Certhilauda semitorquata
Chlidonias leucopterus
Chroicocephalus cirrocephalus
Chroicocephalus hartlaubii
Chrysococcyx caprius
Circus maurus
Circus ranivorus
Cisticola aridulus
Cisticola ayresii
Cisticola textrix
Cisticola tinniens
Columba arquatrix
Corvus albicollis
Corvus albus
Corvus capensis
Crithagra atrogularis
Cuculus solitarius
Estrilda astrild
Eudyptes glaucoides
Euplectes afer
Euplectes albonotatus
Euplectes axillaris
Euplectes orix
Euplectes progne
Eupodotis senegalensis
Falco amurensis
Falco rupicolus
Gallinago media
Geronticus calvus
Gyps coprotheres
Hirundo albigularis
Ichthyaetus leucophthalmus
Lamprotornis bicolor
Lanius collaris
Lugensa pterodroma
Macronyx capensis
Mirafra africana
Monticola explorator
Motacilla capensis
Myrmecocichla formicivora
Nectarinia famosa
Neotis denhami
Numida meleagris
Ortygospiza atricollis
Petrochelidon spilodera
Plectropterus gambensis
Polemaetus bellicosus
Prinia hypoxantha
Ptyonoprogne fuligula
Puffinus atrodorsalis
