species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Onoba aculeus,Onoba aculeus,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Onoba,Rissoidae
Parvicardium scabrum,Parvicardium scabrum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Cardioidea,Cardiidae,Lymnocardiinae,Parvicardium,Cardiidae
Parvicardium scriptum,Parvicardium scriptum,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Cardioidea,Cardiidae,Lymnocardiinae,Parvicardium,Cardiidae
Patella depressa,Patella depressa,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae
Patella pellucida,Patella pellucida,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae
Patella ulyssiponensis,Patella ulyssiponensis,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae
Patella vulgata,Patella vulgata,,Eukaryota,Animalia,Mollusca,Gastropoda,Patellogastropoda,NA,NA,NA,Patellida,Patelloidea,Patellidae,NA,Patella,Patellidae
Petricolaria pholadiformis,Petricolaria pholadiformis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Petricolinae,Petricolaria,Veneridae
Philine aperta,Philine aperta,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Philinoidea,Philinidae,Philininae,Philine,Philinidae
Phorcus lineatus,Phorcus lineatus,,Eukaryota,Animalia,Mollusca,Gastropoda,Vetigastropoda,NA,NA,NA,Trochida,Trochoidea,Trochidae,Cantharidinae,Phorcus,Trochidae
Pododesmus patelliformis,Pododesmus patelliformis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Pectinida,Anomioidea,Anomiidae,NA,Pododesmus,Anomiidae
Polititapes rhomboides,Polititapes rhomboides,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Tapetinae,Polititapes,Veneridae
Pusillina inconspicua,Pusillina inconspicua,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Pusillina,Rissoidae
Pusillina sarsii,Pusillina sarsii,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Pusillina,Rissoidae
Rissoa lilacina,Rissoa lilacina,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Rissoa,Rissoidae
Rissoa membranacea,Rissoa membranacea,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Rissoa,Rissoidae
Rissoa parva,Rissoa parva,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Rissooidea,Rissoidae,NA,Rissoa,Rissoidae
Rissoella diaphana,Rissoella diaphana,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Acteonimorpha,NA,NA,Rissoelloidea,Rissoellidae,NA,Rissoella,Rissoellidae
