species.names,col_name,classification,domain,kingdom,phylum,class,subclass,infraclass,subterclass,superorder,order,superfamily,family,subfamily,genus,family_lower
Cardites floridanus,Cardites floridanus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,NA,NA,Carditamerinae,Carditamera,Carditamerinae
Caryocorbula contracta,Caryocorbula contracta,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,NA,NA,Corbulidae,NA,Caryocorbula,Corbulidae
Chione cancellata,Chione cancellata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Chione,Veneridae
Chioneryx grus,Chioneryx grus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Venerinae,Chioneryx,Veneridae
Corambe obscura,Corambe obscura,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Ringipleura,Nudipleura,NA,NA,Corambidae,NA,Corambe,Corambidae
Corbicula fluminea,Corbicula fluminea,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Cyrenoidea,Cyrenidae,NA,Corbicula,Cyrenidae
Costoanachis avara,Costoanachis avara,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,Atiliinae,Costoanachis,Columbellidae
Cotonopsis lafresnayi,Cotonopsis lafresnayi,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Buccinoidea,Columbellidae,NA,Cotonopsis,Columbellidae
Crassinella lunulata,Crassinella lunulata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Crassatellidae,Scambulinae,Crassinella,Crassatellidae
Crassinella martinicensis,Crassinella martinicensis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,Crassatelloidea,Crassatellidae,Scambulinae,Crassinella,Crassatellidae
Crassostrea virginica,Crassostrea virginica,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Ostreida,Ostreoidea,Ostreidae,Crassostreinae,Crassostrea,Ostreidae
Crenella divaricata,Crenella divaricata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Pteriomorphia,NA,NA,Mytilida,Mytiloidea,Mytilidae,Crenellinae,Crenella,Mytilidae
Crepidula convexa,Crepidula convexa,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae
Crepidula maculosa,Crepidula maculosa,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae
Crepidula plana,Crepidula plana,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Littorinimorpha,Calyptraeoidea,Calyptraeidae,NA,Crepidula,Calyptraeidae
Cumingia sinuosa,Cumingia sinuosa,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Cardiida,Tellinoidea,Semelidae,NA,Cumingia,Semelidae
Cyclocardia borealis,Cyclocardia borealis,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Archiheterodonta,NA,NA,NA,NA,Scalaricarditinae,Cyclocardia,Scalaricarditinae
Cylichnella bidentata,Cylichnella bidentata,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,NA,NA,Philinoidea,Cylichnidae,NA,Cylichnella,Cylichnidae
Cylindrobulla beauii,Cylindrobulla beauii,,Eukaryota,Animalia,Mollusca,Gastropoda,Heterobranchia,Euthyneura,Tectipleura,Sacoglossa,NA,Oxynooidea,Cylindrobullidae,NA,Cylindrobulla,Cylindrobullidae
Dentimargo aureocincta,Dentimargo aureocincta,,Eukaryota,Animalia,Mollusca,Gastropoda,Caenogastropoda,NA,NA,NA,Neogastropoda,Volutoidea,Marginellidae,Marginellinae,Dentimargo,Marginellidae
Diplodonta punctata,Diplodonta punctata,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Ungulinoidea,Ungulinidae,NA,Diplodonta,Ungulinidae
Dosinia discus,Dosinia discus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Venerida,Veneroidea,Veneridae,Dosiniinae,Dosinia,Veneridae
Ennucula aegeensis,Ennucula aegeensis,,Eukaryota,Animalia,Mollusca,Bivalvia,Protobranchia,NA,NA,NA,Nuculida,Nuculoidea,Nuculidae,NA,Ennucula,Nuculidae
Ensis directus,Ensis directus,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Adapedonta,Solenoidea,Pharidae,Cultellinae,Ensis,Pharidae
Ensis minor,Ensis minor,,Eukaryota,Animalia,Mollusca,Bivalvia,Autobranchia,Heteroconchia,Euheterodonta,Imparidentia,Adapedonta,Solenoidea,Pharidae,Cultellinae,Ensis,Pharidae
