REGION,CUM,YEAR,PERIOD,MONTH,DAY,SITE,TRANSECT,SPECIES,SL,TL,WEIGHT,COND,TEMP,DEPTH,COMMENT,ENTERED BY,CHECKED BY,
SRS,12,1998,2,4,28,BJB,.,ERISUC,12.1,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,13.2,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPGUL,15.3,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,13.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,19.9,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,26.1,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPPLA,33.1,38.5,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,AMENAT,18.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,16.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPPUN,9.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPMIC,16.9,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,15.1,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPMIC,16.5,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPGUL,15.4,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,LEPGUL,13.9,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,BJB,.,ERISUC,16,.,.,470,28,110,.,.,.,
SRS,12,1998,2,4,28,CFP,.,AMENAT,24.4,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,AMENAT,20.3,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,AMENAT,23.7,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,AMENAT,22.3,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,AMENAT,14.1,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,16.2,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,16.5,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,15,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,15.8,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,15.1,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,16.5,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,15.2,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,15.6,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,15.5,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,14.5,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,ERISUC,17.5,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPGUL,17,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,ERISUC,15.1,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,MICSAL,20.6,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,ERISUC,13.6,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPMAC,10.3,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPMAC,10.9,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPPUN,11,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPPUN,9.8,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPMAC,8.4,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPPUN,8.5,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPMAC,8.6,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,CFP,.,LEPMAC,9.1,.,.,450,29,130,.,.,.,
SRS,12,1998,2,4,28,LJB,.,LEPGUL,14.6,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,LEPGUL,15.9,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,LEPPUN,11.5,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,LEPGUL,15.8,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,LEPGUL,16.2,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,LEPGUL,9,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,ERISUC,12.7,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,ERISUC,11.8,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,LJB,.,ERISUC,12.4,.,.,470,26,100,.,.,.,
SRS,12,1998,2,4,28,P33B,.,LEPPLA,60,68,.,470,26,80,.,.,.,
SRS,12,1998,2,4,28,P33B,.,ERISUC,20,.,.,470,26,80,.,.,.,
SRS,12,1998,2,4,28,P33B,.,ERISUC,18.4,.,.,470,26,80,.,.,.,
SRS,12,1998,2,4,28,P33B,.,ERISUC,8.3,.,.,470,26,80,.,.,.,
SRS,12,1998,2,4,28,P33B,.,LEPMAC,9.4,.,.,470,26,80,.,.,.,
SRS,12,1998,2,4,28,TP,.,AMENAT,20.4,.,.,400,28,100,.,.,.,
SRS,12,1998,2,4,28,TP,.,AMENAT,17.1,.,.,400,28,100,.,.,.,
